Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Product filter,Q_3,Q10,Q11_1211,Q11_211,Q11_3211,Q11_4211,Q11_5211,Q11_6211,Q11_7211,Q11_8211,Q11_9211,Q11_10211,Q11_11211,Q11_12211,Q11_13211,Q11_14211,Q11_15211,Q11_16211,Q11_17211,Q11_18211,Q11_19211,Q11_20211,Q11_21211,Q11_22211,Q11_23211,Q11_24211,Q11_25211,Q11_26211,Q11_27211,Q11_9999,Q11_999211,Q12,Q13,Q14,Q15,Q16235,Q17_1214,Q17_2214,Q17_3214,Q17_4214,Q17_5214,Q17_6214,Q17_7214,Q17_8214,Q17_9214,Q17_10214,Q17_11214,Q17_12214,Q17_13214,Q17_14214,Q17_15214,Q17_16214,Q17_17214,Q17_18214,Q17_19214,Q17_20214,Q17_999214,Q18_1215,Q18_2215,Q18_3215,Q18_4215,Q18_5215,Q18_6215,Q18_7215,Q18_8215,Q18_9215,Q18_10215,Q18_11215,Q18_12215,Q18_13215,Q18_14215,Q18_15215,Q18_16215,Q18_17215,Q18_18215,Q18_19215,Q18_20215,Q18_21215,Q18_22215,Q18_23215,Q18_24215,Q18_25215,Q18_26215,Q18_27215,Q18_28215,Q18_29215,Q18_30215,Q18_31215,Q18_9999,Q18_999215,Q_104223,Q_116225,Q_113_1224,Q_105221,Q_115222,Q_101218,Q_887226,Q_114220,Q_886216,Q_103217,Q_112_1219,Q_1087236,Q_111213,Q_112212,Q23241,Q24_1240,Q24_2240,Q24_3240,Q24_4240,Q24_5240,Q24_6240,Q25_1243,Q25_2244,Q25_3255,Q25_4248,Q25_5252,Q25_6249,Q25_7254,Q25_8242,Q25_9253,Q25_1256,Q25_11257,Q25_12247,Q25_13246,Q25_14245,Q25_15258,Q25_16251,Q25_1725,Q27,Q28201,Q29,Q30207,Q31202,Q_358,Q_359,Q70_regions,Q28_regions208,Q_euro,Industry_bundlednew203,Q12discrete,Q12_compsize,Q12_GROUP205,Q13_discrete204,Q13Q12sing,Q13Q12206,Q_3_bundled210,Q30_bundled,Q14_discrete237,Q15_discrete238
Europe,Norway,More than 6000,Retail/Wholesale,Business,Did not respond,Other,10.1,Scalability,Extensibility of the solution,,,,,,,,,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,,,,,,,,11000,450,3,15,Company-wide,,Advanced Analytics/Machine Learning/AI,,,,,,,,,,,,Master/Reference Data Management,,,,,,,,,,,Tool does not scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,Good,Good,Satisfactory,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Very satisfied,Definitely,Predominantly based on gut feeling,Digitization & data-driven enterprise,,Security & privacy,,,Business user enablement,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,,Norway,Retail / Wholesale / Trade,CIO/IT management,Other,Yes,Yes,1,Europe,Northern Europe,Retail/Wholesale,10001 -  100000,More than 2500,More than 6000,More than 300,4.090909091,1 to less than 5%,,Business,Less than 25,Less than 25
Europe,Germany,More than 6000,Manufacturing,Did not respond,Did not respond,Other,the most recent version available as SaaS.,Scalability,Extensibility of the solution,,,,,,,,,Integrated end-to-end platform,Ease of use for business users,,,,,,,,,,,Automation of data processes,Connectivity to source and target systems,,,,,,120000,3000,2,25,In several divisions,,Advanced Analytics/Machine Learning/AI,Data Lake,,Data Storage/Data Provisioning,,Data Pipelining,Data Integration,Data Preparation for Business Users,Data Virtualization,,,,,Self-Service Analytics,Data Discovery,A Holistic Data Platform,Data Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Satisfactory,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Very satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly decreased,Stayed the same,Stayed the same,Slightly decreased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly decreased,Slightly increased,Stayed the same,,Germany,Process industry,"Other, please specify:",R&D,Yes,,1,Europe,DACH,Manufacturing,More than 100000,More than 2500,More than 6000,More than 300,2.5,1 to less than 5%,,,Less than 25,Less than 25
Europe,United Kingdom,150 - 500,Financial Services,Did not respond,Other,Octopai,09.04.1986,Scalability,,,Innovative strength of the vendor,Fast reaction time on support tickets,,,,,,,Ease of use for business users,Ease of use for technical users,,,,,,,,Product roadmap,AI/ML for development/maintenance of data,,Connectivity to source and target systems,,Range of available functions,,,,500,25,4,4,In one division,,,,Data Governance,,,,,Data Preparation for Business Users,,,,Data Stewardship/Data Quality Management,,,Data Discovery,A Holistic Data Platform,,Data Catalog,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Don't know / not available,Satisfactory,Good,Good,Good,Good,Good,Excellent,Don't know / not available,Don't know / not available,Good,Good,Rather satisfied,Probably,,,,,Artificial intelligence & machine learning,Data culture,,,Slightly increased,,Strongly increased,Strongly increased,,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Stayed the same,Stayed the same,,Stayed the same,Stayed the same,Slightly increased,,United Kingdom,Insurance,Business analyst,Dedicated BI and analytics unit,Yes,,1,Europe,United Kingdom & Ireland,Financial Services,251 - 500,100 - 2500,150 - 500,Less than 25,5,1 to less than 5%,Other,,Less than 25,Less than 25
Europe,France,150 - 500,IT,Did not respond,Did not respond,Other,9.0.1,,,,,,Local presence and good support,Local presence and quality of support,,Good price-performance ratio,,,,Ease of use for technical users,,Integration into existing IT operations,Convincing performance,,,Integration into enterprise data processes,,,,Automation of data processes,Connectivity to source and target systems,Supported data access methodologies,Range of available functions,Quality of functions,,,400,7,2,3,In one division,Data Warehousing/BI,,,,,Query Engine,,Data Integration,Data Preparation for Business Users,Data Virtualization,,Data Warehouse Automation,,,,,,,,,,,,,,,,,,,,,,Inflexible licensing model,,,,,,Missing disaster recovery,,,,,,,,,,,,,,,Good,Good,Satisfactory,Good,Satisfactory,Good,Excellent,Good,Good,Excellent,Good,Excellent,Rather satisfied,Definitely,Half data-based and half based on gut feeling,,,Security & privacy,,Data culture,,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,France,IT,Business analyst,Finance and controlling,Yes,,1,Europe,France,IT,251 - 500,100 - 2500,150 - 500,Less than 25,1.75,1 to less than 5%,,,Less than 25,Less than 25
Europe,France,Less than 150,IT,IT,Did not respond,Other,MyReport 4.1,,Extensibility of the solution,,,Fast reaction time on support tickets,Local presence and good support,Local presence and quality of support,,Good price-performance ratio,,Integrated end-to-end platform,Ease of use for business users,Ease of use for technical users,,,Convincing performance,Available know-how in the company,,Integration into enterprise data processes,,Product roadmap,,Automation of data processes,Connectivity to source and target systems,Supported data access methodologies,Range of available functions,Quality of functions,,,89,75,3,3,Company-wide,Data Warehousing/BI,,,Data Governance,,Query Engine,,Data Integration,Data Preparation for Business Users,,,Data Warehouse Automation,,Master/Reference Data Management,Self-Service Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Good,Excellent,Good,Good,Satisfactory,Excellent,Good,Good,Excellent,Excellent,Good,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,,,Data culture,Business user enablement,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Strongly increased,Stayed the same,France,France,IT,IT employee,,Yes,,1,Europe,France,IT,50 - 99,Less than 100,Less than 150,25 - 75,84.26966292,More than 75%,,IT,Less than 25,Less than 25
Europe,Austria,1501 - 6000,Financial Services,Business,Did not respond,Other,2020,Scalability,Extensibility of the solution,Openness,,,,Local presence and quality of support,,,,Integrated end-to-end platform,Ease of use for business users,Ease of use for technical users,,Integration into existing IT operations,,Available know-how in the company,Reusability/metadata-driven development,,,,,,Connectivity to source and target systems,,Range of available functions,Quality of functions,,,1600,1000,2,5,In several divisions,Data Warehousing/BI,,,,,,,,,,,,,,Self-Service Analytics,Data Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Satisfactory,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Satisfactory,Excellent,Excellent,Excellent,Very satisfied,Definitely,Predominantly data-based,Digitization & data-driven enterprise,,,,,,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,,Austria,Insurance,Person responsible for departmental BI,Finance and controlling,Yes,,1,Europe,DACH,Financial Services,1001 – 2500,100 - 2500,1501 - 6000,More than 300,62.5,50 to less than 75%,,Business,Less than 25,Less than 25
North America,United States of America,More than 6000,Manufacturing,Did not respond,Did not respond,Other,2019,Scalability,Extensibility of the solution,Openness,Innovative strength of the vendor,Fast reaction time on support tickets,,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,,,,Convincing performance,Available know-how in the company,Reusability/metadata-driven development,Integration into enterprise data processes,,,,Automation of data processes,Connectivity to source and target systems,Supported data access methodologies,Range of available functions,Quality of functions,,,100000,100,10,20,In several divisions,Data Warehousing/BI,,,,,Query Engine,,,Data Preparation for Business Users,,,,,,Self-Service Analytics,Data Discovery,,,,,,Lack of management support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,Good,Good,Good,Excellent,Good,Good,Good,Good,Satisfactory,Good,Good,Good,Very satisfied,Definitely,Half data-based and half based on gut feeling,,,,Artificial intelligence & machine learning,Data culture,Business user enablement,Strongly increased,Strongly increased,Strongly increased,Strongly increased,Slightly increased,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,United States of America,Manufacturing,Member of cross-functional BI/analytics team,IT,Yes,,3,North America, ,Manufacturing,10001 -  100000,More than 2500,More than 6000,76 - 300,0.1,1 to less than 5%,,,Less than 25,Less than 25
Europe,Germany,1501 - 6000,Manufacturing,Business,Did not respond,Other,Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Others,3500,10,1,1,In one division,,,,,,,,,,,,,,,Self-Service Analytics,,,,,,,Lack of management support,,,,Unreliable software,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Satisfactory,Don't know / not available,Good,Poor,Good,Don't know / not available,Excellent,Satisfactory,Satisfactory,Good,Good,Don't know / not available,Rather satisfied,Definitely,Predominantly based on gut feeling,,,,Artificial intelligence & machine learning,,,,Slightly increased,,Slightly increased,,,Slightly increased,Strongly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Construction,Person responsible for BI from IT department,Procurement,0,No,1,Europe,DACH,Manufacturing,2501 – 10000,More than 2500,1501 - 6000,Less than 25,0.285714286,1 to less than 5%,,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,Services,Did not respond,Did not respond,Other,13.0.17665.52,,Extensibility of the solution,,,,,,,,,,Ease of use for business users,,,,,,,,,,,,Connectivity to source and target systems,,,,,,500,100,5,5,Company-wide,Data Warehousing/BI,,,,Data Storage/Data Provisioning,,,Data Integration,,,,,,,Self-Service Analytics,,,,,,,,,,,,,,,,Insufficient support,,,,,,,,,,,,,,,,,,,,,,,,Good,Good,Very poor,Satisfactory,Good,Poor,Satisfactory,Satisfactory,Satisfactory,Good,Good,Good,Very satisfied,Probably,Predominantly based on gut feeling,,"Distributed data, computing & decision-making",Security & privacy,,,,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Strongly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,Slightly increased,,Germany,Services,Business analyst,Finance and controlling,No,,1,Europe,DACH,Services,251 - 500,100 - 2500,150 - 500,76 - 300,20,15 to less than 20%,,,Less than 25,Less than 25
Europe,Spain,150 - 500,Services,Business,Did not respond,Other,2.96.1061.0,,,Openness,,,,,"Flexible, good licensing model/price",Good price-performance ratio,Prebuilt content,,Ease of use for business users,Ease of use for technical users,,,,,,,,,,Automation of data processes,Connectivity to source and target systems,,,,,,150,20,5,10,For the implementation of a specific use case,Data Warehousing/BI,,,,,,,,Data Preparation for Business Users,,,,,,,,,,,,,Lack of management support,,,,,,,,,Insufficient support,,,,,,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Good,Good,Satisfactory,Excellent,Good,Good,Very satisfied,Probably,Half data-based and half based on gut feeling,,,Security & privacy,Artificial intelligence & machine learning,,,Slightly increased,Strongly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Slightly increased,Slightly increased,Slightly decreased,Strongly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Spain,Spain,Consulting,CIO/IT management,,Yes,,1,Europe,Southern Europe,Services,100 - 250,100 - 2500,150 - 500,Less than 25,13.33333333,10 to less than 15%,,Business,Less than 25,Less than 25
Europe,Germany,Less than 150,Retail/Wholesale,Business,Did not respond,Other,4.5,,,Openness,Innovative strength of the vendor,,,,"Flexible, good licensing model/price",Good price-performance ratio,Prebuilt content,,Ease of use for business users,Ease of use for technical users,,,,,,Integration into enterprise data processes,,,AI/ML for development/maintenance of data,Automation of data processes,Connectivity to source and target systems,,Range of available functions,Quality of functions,,,43,5,3,3,In several divisions,,Advanced Analytics/Machine Learning/AI,,,,,,Data Integration,Data Preparation for Business Users,Data Virtualization,,,,Master/Reference Data Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Excellent,Excellent,Don't know / not available,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Very satisfied,Definitely,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,"Distributed data, computing & decision-making",,,,,Slightly increased,,Stayed the same,,,,,,,,,Slightly increased,Slightly increased,Stayed the same,,,Slightly decreased,,Germany,Retail / Wholesale / Trade,CIO/IT management,IT,No,,1,Europe,DACH,Retail/Wholesale,Less than 50,Less than 100,Less than 150,Less than 25,11.62790698,10 to less than 15%,,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,Services,Business,Did not respond,Other,20.10.15.64,,,,,,,,,Good price-performance ratio,Prebuilt content,,,Ease of use for technical users,,,,,,,,,,,Connectivity to source and target systems,,,,,,170,12,1,1,Company-wide,Data Warehousing/BI,,,,,,,Data Integration,,Data Virtualization,,Data Warehouse Automation,,,,,,,,,,,Lack of resources/budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Excellent,Don't know / not available,Good,Good,Good,Good,Satisfactory,Don't know / not available,Good,Good,Good,Rather satisfied,Probably,Predominantly based on gut feeling,Digitization & data-driven enterprise,,,Artificial intelligence & machine learning,,,Stayed the same,Slightly decreased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Slightly increased,Stayed the same,Stayed the same,Slightly decreased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Healthcare,Head of business department,Finance and controlling,Yes,,1,Europe,DACH,Services,100 - 250,100 - 2500,150 - 500,Less than 25,7.058823529,5 to less than 10%,,Business,Less than 25,Less than 25
Europe,Germany,150 - 500,Manufacturing,Business,Did not respond,Other,2021.4,Scalability,,Openness,Innovative strength of the vendor,,,,,,,,Ease of use for business users,,,Integration into existing IT operations,Convincing performance,,,,,,,,Connectivity to source and target systems,,,,,,350,6,3,3,In one division,,,,,,,,Data Integration,Data Preparation for Business Users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Very satisfied,Probably,Half data-based and half based on gut feeling,Digitization & data-driven enterprise,,,Artificial intelligence & machine learning,,,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Slightly increased,Strongly increased,,Slightly increased,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Manufacturing,Head of business department,Finance and controlling,Yes,,1,Europe,DACH,Manufacturing,251 - 500,100 - 2500,150 - 500,Less than 25,1.714285714,1 to less than 5%,,Business,Less than 25,Less than 25
Europe,Germany,501 - 1500,Manufacturing,Business,Did not respond,Other,2021.03,,,,,,,,,Good price-performance ratio,,,,,,,,,,,,,,,,,,,,,1350,10,2,4,Company-wide,,Advanced Analytics/Machine Learning/AI,,,Data Storage/Data Provisioning,,,Data Integration,,,,,,,Self-Service Analytics,,,,,,,,,,,,,Lack of maturity/culture in the enterprise,,,,,,,,Lack of internal know-how,,,,,,,,,,,,,,,,,,,Good,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Don't know / not available,Excellent,Good,Don't know / not available,Very satisfied,Definitely,Predominantly based on gut feeling,,,,,Data culture,Business user enablement,Stayed the same,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,Germany,Construction,Head of business department,Finance and controlling,Yes,,1,Europe,DACH,Manufacturing,1001 – 2500,100 - 2500,501 - 1500,Less than 25,0.740740741,1 to less than 5%,,Business,Less than 25,Less than 25
North America,United States of America,1501 - 6000,Other,Did not respond,Did not respond,Other,Jedox 2021.3 (21.3.8),Scalability,Extensibility of the solution,,,,,,"Flexible, good licensing model/price",Good price-performance ratio,,,Ease of use for business users,Ease of use for technical users,,Integration into existing IT operations,Convincing performance,,,,,,,,Connectivity to source and target systems,,,,,,2000,60,2,2,Company-wide,,,,,,,,,Data Preparation for Business Users,,,,,,Self-Service Analytics,,,,,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some functions do not work,,,,Satisfactory,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Rather satisfied,Probably,Half data-based and half based on gut feeling,,,Security & privacy,,,Business user enablement,Stayed the same,Slightly increased,Slightly increased,Stayed the same,Slightly increased,Strongly increased,Stayed the same,Slightly increased,Strongly increased,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,,United States of America,Other,"Other, please specify:",Finance and controlling,Yes,,3,North America, ,Other,1001 – 2500,100 - 2500,1501 - 6000,25 - 75,3,1 to less than 5%,,,Less than 25,Less than 25
